            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460318.593144930, A.D. 2024-Jan-09 02:14:07.7220,  1.147552550672361E+05,  5.319148060750053E+05,  3.059076777459128E+04, -1.217842469680503E+00,  1.804808909252762E+00,  1.882971781877115E-01,  1.817963870411552E+00,  5.450118572658726E+05,  1.515583380372814E+00,
2460318.597745695, A.D. 2024-Jan-09 02:20:45.2280,  1.142709437503777E+05,  5.326309365033180E+05,  3.066557853903182E+04, -1.218905212040503E+00,  1.798315122479779E+00,  1.881033979723830E-01,  1.819970274297247E+00,  5.456133620185058E+05,  1.510815489134562E+00,
2460318.602346458, A.D. 2024-Jan-09 02:27:22.7340,  1.137862124026756E+05,  5.333444932701498E+05,  3.074031214736743E+04, -1.219955832968937E+00,  1.791859775497206E+00,  1.879089803838505E-01,  1.821970378194867E+00,  5.462129780822287E+05,  1.506080602555887E+00,
2460318.606947222, A.D. 2024-Jan-09 02:34:00.2400,  1.133010658040404E+05,  5.340554915492780E+05,  3.081496834998485E+04, -1.220994524871463E+00,  1.785442334867458E+00,  1.877139441803769E-01,  1.823964225532337E+00,  5.468107184764057E+05,  1.501378217873923E+00,
2460318.611547986, A.D. 2024-Jan-09 02:40:37.7460,  1.128155086588324E+05,  5.347639463045181E+05,  3.088954690461460E+04, -1.222021475654371E+00,  1.779062277651708E+00,  1.875183075724942E-01,  1.825951859077957E+00,  5.474065960226504E+05,  1.496707842873527E+00,
2460318.616148750, A.D. 2024-Jan-09 02:47:15.2520,  1.123295455976098E+05,  5.354698722938334E+05,  3.096404757612001E+04, -1.223036868853767E+00,  1.772719091144539E+00,  1.873220882408014E-01,  1.827933320954153E+00,  5.480006233489484E+05,  1.492068995608114E+00,
2460318.620749514, A.D. 2024-Jan-09 02:53:52.7580,  1.118431811788291E+05,  5.361732840733483E+05,  3.103847013628911E+04, -1.224040883760662E+00,  1.766412272616173E+00,  1.871253033531546E-01,  1.829908652650898E+00,  5.485928128936809E+05,  1.487461204128751E+00,
2460318.625350278, A.D. 2024-Jan-09 03:00:30.2640,  1.113564198903556E+05,  5.368741960014709E+05,  3.111281436365991E+04, -1.225033695542350E+00,  1.760141329060401E+00,  1.869279695812107E-01,  1.831877895039367E+00,  5.491831769097180E+05,  1.482884006220112E+00,
2460318.629951042, A.D. 2024-Jan-09 03:07:07.7700,  1.108692661516578E+05,  5.375726222418741E+05,  3.118708004323518E+04, -1.226015475358431E+00,  1.753905776959142E+00,  1.867301031166897E-01,  1.833841088382325E+00,  5.497717274675327E+05,  1.478336949151158E+00,
2460318.634551805, A.D. 2024-Jan-09 03:13:45.2760,  1.103817243144991E+05,  5.382685767684833E+05,  3.126126696642992E+04, -1.226986390475994E+00,  1.747705142035376E+00,  1.865317196864853E-01,  1.835798272350087E+00,  5.503584764599861E+05,  1.473819589419875E+00,
