            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460320.957088889, A.D. 2024-Jan-11 10:58:12.4800, -2.282677547920359E+04,  3.544353809422554E+05,  2.571213629383364E+04, -2.281074263077115E-01,  4.685177892438716E-01,  8.583446500426398E-02,  1.187818955780603E+00,  3.560991644124602E+05,  4.871486454158274E-01,
2460320.967625694, A.D. 2024-Jan-11 11:13:22.8600, -2.303436632556939E+04,  3.548606355085612E+05,  2.579018480378886E+04, -2.279456039445305E-01,  4.657187100844783E-01,  8.562914505301869E-02,  1.189294171556619E+00,  3.565414229760323E+05,  4.844436026707774E-01,
2460320.978162500, A.D. 2024-Jan-11 11:28:33.2400, -2.324180944761453E+04,  3.552833451143467E+05,  2.586804645856355E+04, -2.277828945894325E-01,  4.629267925911940E-01,  8.542396494630183E-02,  1.190761183140253E+00,  3.569812219846047E+05,  4.817452755194241E-01,
2460320.988699305, A.D. 2024-Jan-11 11:43:43.6200, -2.344910404214459E+04,  3.557035162500967E+05,  2.594572138433503E+04, -2.276193062788962E-01,  4.601419730424823E-01,  8.521892286946747E-02,  1.192220010833062E+00,  3.574185675244302E+05,  4.790536042818865E-01,
2460320.999236111, A.D. 2024-Jan-11 11:58:54.0000, -2.365624931141926E+04,  3.561211553470386E+05,  2.602320970559107E+04, -2.274548456153634E-01,  4.573641841286238E-01,  8.501401590385502E-02,  1.193670674750765E+00,  3.578534656260504E+05,  4.763685254990012E-01,
2460321.009772917, A.D. 2024-Jan-11 12:14:04.3800, -2.386324446330125E+04,  3.565362687776632E+05,  2.610051154501870E+04, -2.272895158563064E-01,  4.545933643418851E-01,  8.480924352261424E-02,  1.195113194824873E+00,  3.582859222647815E+05,  4.736899814015771E-01,
2460321.020309722, A.D. 2024-Jan-11 12:29:14.7600, -2.407008871087525E+04,  3.569488628560533E+05,  2.617762702352641E+04, -2.271233273875352E-01,  4.518294470665336E-01,  8.460460221683569E-02,  1.196547590803587E+00,  3.587159433609855E+05,  4.710179093575473E-01,
2460321.030846528, A.D. 2024-Jan-11 12:44:25.1400, -2.427678127250291E+04,  3.573589438388894E+05,  2.625455626031314E+04, -2.269562813804589E-01,  4.490723721940104E-01,  8.440009138236154E-02,  1.197973882255061E+00,  3.591435347810473E+05,  4.683522527729505E-01,
2460321.041383334, A.D. 2024-Jan-11 12:59:35.5200, -2.448332137173268E+04,  3.577665179254654E+05,  2.633129937275591E+04, -2.267883852814932E-01,  4.463220748235784E-01,  8.419570829057588E-02,  1.199392088567298E+00,  3.595687023373441E+05,  4.656929505141563E-01,
2460321.051920139, A.D. 2024-Jan-11 13:14:45.9000, -2.468970823710509E+04,  3.581715912589075E+05,  2.640785647656636E+04, -2.266196456801716E-01,  4.435784951105771E-01,  8.399145146461778E-02,  1.200802228952089E+00,  3.599914517894255E+05,  4.630399464809154E-01,
2460321.062456944, A.D. 2024-Jan-11 13:29:56.2800, -2.489594110211025E+04,  3.585741699259839E+05,  2.648422768563188E+04, -2.264500642785721E-01,  4.408415707512787E-01,  8.378731872882461E-02,  1.202204322444225E+00,  3.604117888437787E+05,  4.603931817062762E-01,
2460321.072993750, A.D. 2024-Jan-11 13:45:06.6600, -2.510201920518994E+04,  3.589742599584096E+05,  2.656041311218085E+04, -2.262796521102008E-01,  4.381112405524942E-01,  8.358330825729562E-02,  1.203598387905774E+00,  3.608297191551095E+05,  4.577525989631721E-01,
2460321.083530555, A.D. 2024-Jan-11 14:00:17.0400, -2.530794178941978E+04,  3.593718673327685E+05,  2.663641286666295E+04, -2.261084090033711E-01,  4.353874469060714E-01,  8.337941826818659E-02,  1.204984444025621E+00,  3.612452483262043E+05,  4.551181437884250E-01,
2460321.094067361, A.D. 2024-Jan-11 14:15:27.4200, -2.551370810267644E+04,  3.597669979712522E+05,  2.671222705781106E+04, -2.259363432181961E-01,  4.326701275859274E-01,  8.317564670341493E-02,  1.206362509321869E+00,  3.616583819086509E+05,  4.524897576571013E-01,
2460321.104604166, A.D. 2024-Jan-11 14:30:37.8000, -2.571931739731364E+04,  3.601596577424652E+05,  2.678785579266456E+04, -2.257634588231492E-01,  4.299592260882325E-01,  8.297199192982355E-02,  1.207732602144354E+00,  3.620691254035920E+05,  4.498673874454893E-01,
2460321.115140972, A.D. 2024-Jan-11 14:45:48.1800, -2.592476893028876E+04,  3.605498524613207E+05,  2.686329917651614E+04, -2.255897590543607E-01,  4.272546823990072E-01,  8.276845148796633E-02,  1.209094740674219E+00,  3.624774842615966E+05,  4.472509763850412E-01,
2460321.125677778, A.D. 2024-Jan-11 15:00:58.5600, -2.613006196290453E+04,  3.609375878902931E+05,  2.693855731298706E+04, -2.254152527878794E-01,  4.245564396477554E-01,  8.256502453878786E-02,  1.210448942927932E+00,  3.628834638838664E+05,  4.446404713269236E-01,
2460321.136214583, A.D. 2024-Jan-11 15:16:08.9400, -2.633519576074708E+04,  3.613228697391251E+05,  2.701363030394628E+04, -2.252399394226979E-01,  4.218644404157414E-01,  8.236170780552374E-02,  1.211795226756193E+00,  3.632870696219065E+05,  4.420358176874623E-01,
2460321.146751389, A.D. 2024-Jan-11 15:31:19.3200, -2.654016959386488E+04,  3.617057036661160E+05,  2.708851824964555E+04, -2.250638291177455E-01,  4.191786277278345E-01,  8.215850101723138E-02,  1.213133609848193E+00,  3.636883067788028E+05,  4.394369622933570E-01,
2460321.157288195, A.D. 2024-Jan-11 15:46:29.7000, -2.674498273608376E+04,  3.620860952778260E+05,  2.716322124852693E+04, -2.248869220745804E-01,  4.164989458402790E-01,  8.195540103104609E-02,  1.214464109730333E+00,  3.640871806088382E+05,  4.368438522329839E-01,
