            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460357.072690972, A.D. 2024-Feb-16 13:44:40.5000, -2.891714788692461E+05, -9.525521682897600E+04, -2.794363485448783E+04,  1.681619425533163E-01,  4.134257507683701E-01,  4.206914069730538E-02,  1.019825770615403E+00,  3.057360745045357E+05, -2.917031037328749E-01,
2460357.079784722, A.D. 2024-Feb-16 13:54:53.4000, -2.890676628612387E+05, -9.500266792808846E+04, -2.791778477878186E+04,  1.706064102004541E-01,  4.106901807303203E-01,  4.228381091797689E-02,  1.019228131697304E+00,  3.055569068642824E+05, -2.929533826562593E-01,
2460357.086878472, A.D. 2024-Feb-16 14:05:06.3000, -2.889623513105086E+05, -9.475178714141314E+04, -2.789180380843294E+04,  1.730421703786740E-01,  4.079823436954495E-01,  4.249627952093918E-02,  1.018627929953516E+00,  3.053769709082163E+05, -2.942102223345827E-01,
2460357.093972222, A.D. 2024-Feb-16 14:15:19.2000, -2.888555495352716E+05, -9.450255757671392E+04, -2.786569328083955E+04,  1.754692837570636E-01,  4.053018971502202E-01,  4.270658550003573E-02,  1.018025152154581E+00,  3.051962626702458E+05, -2.954734441412434E-01,
2460357.101065972, A.D. 2024-Feb-16 14:25:32.1000, -2.887472628167568E+05, -9.425496254940522E+04, -2.783945450979666E+04,  1.778878101868252E-01,  4.026485046787358E-01,  4.291476699872232E-02,  1.017419785431694E+00,  3.050147782924002E+05, -2.967428733104617E-01,
2460357.108159722, A.D. 2024-Feb-16 14:35:45.0000, -2.886374963997620E+05, -9.400898557993787E+04, -2.781308878585791E+04,  1.802978087127661E-01,  4.000218358459653E-01,  4.312086132788034E-02,  1.016811817270157E+00,  3.048325140228673E+05, -2.980183388466880E-01,
2460357.115253472, A.D. 2024-Feb-16 14:45:57.9000, -2.885262554931255E+05, -9.376461038917783E+04, -2.778659737700472E+04,  1.826993375887634E-01,  3.974215660330317E-01,  4.332490499263897E-02,  1.016201235500732E+00,  3.046494662134015E+05, -2.992996734235567E-01,
2460357.122347222, A.D. 2024-Feb-16 14:56:10.8000, -2.884135452702865E+05, -9.352182089534508E+04, -2.775998152910115E+04,  1.850924542892257E-01,  3.948473763119113E-01,  4.352693371198252E-02,  1.015588028292951E+00,  3.044656313173174E+05, -3.005867132939388E-01,
2460357.129440972, A.D. 2024-Feb-16 15:06:23.7000, -2.882993708696277E+05, -9.328060121027607E+04, -2.773324246633977E+04,  1.874772155251819E-01,  3.922989533112868E-01,  4.372698243957074E-02,  1.014972184147169E+00,  3.042810058871084E+05, -3.018792982028462E-01,
2460357.136534722, A.D. 2024-Feb-16 15:16:36.6000, -2.881837373950279E+05, -9.304093563624076E+04, -2.770638139172581E+04,  1.898536772554387E-01,  3.897759890894804E-01,  4.392508538387060E-02,  1.014353691887987E+00,  3.040955865724744E+05, -3.031772712999410E-01,
2460357.143628472, A.D. 2024-Feb-16 15:26:49.5000, -2.880666499162732E+05, -9.280280866255506E+04, -2.767939948751871E+04,  1.922218947002858E-01,  3.872781810093636E-01,  4.412127602761243E-02,  1.013732540657134E+00,  3.039093701181870E+05, -3.044804790564570E-01,
2460357.150722222, A.D. 2024-Feb-16 15:37:02.4000, -2.879481134695939E+05, -9.256620496255590E+04, -2.765229791569339E+04,  1.945819223522229E-01,  3.848052316339538E-01,  4.431558714342079E-02,  1.013108719907229E+00,  3.037223533622217E+05, -3.057887711871420E-01,
2460357.157815972, A.D. 2024-Feb-16 15:47:15.3000, -2.878281330579749E+05, -9.233110939016801E+04, -2.762507781833640E+04,  1.969338139909670E-01,  3.823568485885133E-01,  4.450805081596293E-02,  1.012482219394527E+00,  3.035345332335805E+05, -3.071020005677998E-01,
2460357.164909722, A.D. 2024-Feb-16 15:57:28.2000, -2.877067136516781E+05, -9.209750697702105E+04, -2.759774031808428E+04,  1.992776226936723E-01,  3.799327444546819E-01,  4.469869845814087E-02,  1.011853029173004E+00,  3.033459067505206E+05, -3.084200231594947E-01,
2460357.172003472, A.D. 2024-Feb-16 16:07:41.1000, -2.875838601886232E+05, -9.186538292935549E+04, -2.757028651851914E+04,  2.016134008476662E-01,  3.775326366588392E-01,  4.488756082823689E-02,  1.011221139587889E+00,  3.031564710186143E+05, -3.097426979347174E-01,
2460357.179097222, A.D. 2024-Feb-16 16:17:54.0000, -2.874595775749047E+05, -9.163472262522111E+04, -2.754271750459457E+04,  2.039412001603049E-01,  3.751562473639430E-01,  4.507466804677288E-02,  1.010586541270034E+00,  3.029662232290619E+05, -3.110698868034721E-01,
2460357.186190972, A.D. 2024-Feb-16 16:28:06.9000, -2.873338706850568E+05, -9.140551161142264E+04, -2.751503434297360E+04,  2.062610716729186E-01,  3.728033033663992E-01,  4.526004961194849E-02,  1.009949225129313E+00,  3.027751606567122E+05, -3.124014545458134E-01,
2460357.193284722, A.D. 2024-Feb-16 16:38:19.8000, -2.872067443625511E+05, -9.117773560096511E+04, -2.748723808241315E+04,  2.085730657700231E-01,  3.704735359996144E-01,  4.544373441438676E-02,  1.009309182349377E+00,  3.025832806584901E+05, -3.137372687435386E-01,
2460357.200378472, A.D. 2024-Feb-16 16:48:32.7000, -2.870782034201550E+05, -9.095138047003992E+04, -2.745932975415283E+04,  2.108772321914716E-01,  3.681666810249077E-01,  4.562575075404118E-02,  1.008666404381604E+00,  3.023905806715831E+05, -3.150771997119297E-01,
2460357.207472222, A.D. 2024-Feb-16 16:58:45.6000, -2.869482526404207E+05, -9.072643225558376E+04, -2.743131037228217E+04,  2.131736200412790E-01,  3.658824785402776E-01,  4.580612635405834E-02,  1.008020882940132E+00,  3.021970582119525E+05, -3.164211204351680E-01,
2460357.214565972, A.D. 2024-Feb-16 17:08:58.5000, -2.868168967759210E+05, -9.050287715238654E+04, -2.740318093405668E+04,  2.154622778008346E-01,  3.636206728837975E-01,  4.598488837522013E-02,  1.007372609995719E+00,  3.020027108724919E+05, -3.177689065051933E-01,
2460357.221659722, A.D. 2024-Feb-16 17:19:11.4000, -2.866841405497324E+05, -9.028070151061579E+04, -2.737494242027512E+04,  2.177432533375280E-01,  3.613810125401323E-01,  4.616206343037300E-02,  1.006721577770908E+00,  3.018075363215786E+05, -3.191204360586175E-01,
